Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g)
"Agneau, gigot, cru",128.09,20.0,74.5,0.48,5.13
"Agneau, gigot, grillé/poêlé",174.12,27.6,64.8,0.0,7.08
"Agneau, gigot, rôti/cuit au four",165.65,26.0,65.9,0.0,6.85
"Agneau, selle, crue",235.6,17.5,63.8,0.0,18.4
"Agneau, selle, partie maigre, grillée/poêlée",153.45,26.1,68.3,0.0,5.45
"Agneau, selle, partie maigre, rôtie/cuite au four",153.45,26.1,68.3,0.0,5.45
"Agneau, viande, cuite (aliment moyen)",209.55,28.3,60.4,0.012,10.7
"Ail séché, poudre",324.93,16.7,6.48,62.8,0.77
"Ail, cru",111.1,5.81,64.3,21.2,0.34
Alcool pur,0.0,0.0,0.0,0.0,0.0
Aligot (purée de pomme de terre à la tomme fraîche),188.3,8.55,0.0,9.5,12.9
Amande (avec peau),596.4,21.1,4.58,7.85,53.4
"Amande, grillée, salée",604.38,21.1,2.41,8.72,53.9
"Amande, mondée, émondée ou blanchie",593.14,21.4,4.51,8.76,52.5
"Amarante, crue",353.58,14.0,11.3,58.6,7.02
Amidon de maïs ou fécule de maïs,360.77,0.43,9.26,89.2,0.25
Amidon de riz,342.4,0.6,14.2,85.0,0.0
"Ananas au sirop et jus d'ananas, appertisé, égoutté",54.4,0.0,84.5,13.6,0.0
"Ananas au sirop et jus d'ananas, appertisé, non égoutté",55.64,0.31,84.9,13.6,0.0
"Ananas au sirop léger, appertisé, égoutté",63.6,0.0,82.0,15.9,0.0
"Ananas au sirop léger, appertisé, non égoutté",65.78,0.27,82.4,16.0,0.078
"Ananas, pulpe, cru",48.24,0.52,85.9,11.0,0.24
"Anchois au sel (anchoité, semi-conserve)",127.9,25.0,0.0,0.0,3.1
"Anchois commun, cru",136.23,20.4,71.8,0.0,6.07
"Anchois commun, mariné",135.74,23.9,60.2,2.7,3.26
"Anchois, filets à l'huile, semi-conserve, égoutté",181.65,26.4,55.1,0.0,8.45
"Anchois, filets roulés aux câpres, semi-conserve, égoutté",197.82,24.8,0.0,1.48,10.3
Andouille,210.7,18.4,60.5,0.3,15.1
Andouille de Guéméné,234.0,18.0,0.0,0.0,18.0
Andouille de Vire,238.0,19.0,0.0,0.0,18.0
"Andouille, réchauffée à la poêle",270.0,22.5,55.5,0.0,20.0
"Andouillette de Troyes, crue",251.8,19.7,59.9,0.5,19.0
"Andouillette, crue",225.9,18.8,63.0,1.0,16.3
"Andouillette, sautée/poêlée",300.86,24.5,48.7,0.54,22.3
"Aneth, frais",41.22,3.93,86.0,3.9,1.1
"Anguille, bouillie/cuite à l'eau",196.3,20.5,62.0,0.0,12.7
"Anguille, crue",240.6,18.3,62.1,0.0,18.6
"Anguille, cuite (aliment moyen)",212.6,22.1,60.7,0.0,13.8
"Anguille, rôtie/cuite au four",229.4,23.6,59.3,0.0,15.0
"Ao-nori (Enteromorpha sp.), séchée ou déshydratée",152.23,13.7,7.65,18.8,2.47
Apéritif à base de vin ou vermouth,45.65,0.013,75.3,11.4,0.0
Apéritif anisé sans alcool,4.0,0.0,0.0,1.0,0.0
"Arachide, bouillie/cuite à l'eau, salée",298.16,15.5,41.8,9.54,22.0
"Artichaut, appertisé, égoutté",36.6,2.2,89.9,6.5,0.2
"Artichaut, coeur, appertisé, égoutté",16.44,1.8,90.5,2.31,0.0
"Artichaut, cru",34.1,3.1,84.9,5.02,0.18
"Artichaut, cuit",16.6,2.53,85.8,0.99,0.28
"Artichaut, fond, appertisé, égoutté",18.08,1.5,91.3,3.02,0.0
"Artichaut, fond, surgelé, cru",43.79,1.89,84.7,8.09,0.43
"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",127.9,7.22,10.8,18.5,2.78
Asiago,358.8,32.1,0.0,0.0,25.6
"Asperge, appertisée, égouttée",15.31,1.79,94.2,1.43,0.27
"Asperge, blanche ou violette, pelée, crue",22.7,2.5,92.4,2.5,0.3
"Asperge, bouillie/cuite à l'eau",16.24,2.53,93.0,0.81,0.32
"Asperge, pelée, crue",19.65,2.04,93.3,2.4,0.21
"Asperge, verte, crue",20.39,2.46,92.5,2.03,0.27
"Aubergine, crue",15.3,1.12,92.9,2.39,0.14
"Aubergine, cuite",24.12,1.23,89.7,4.17,0.28
"Autruche, viande crue",159.1,20.2,71.1,0.0,8.7
"Autruche, viande cuite",168.43,26.2,67.1,0.0,7.07
"Avocat, pulpe, cru",145.92,1.76,75.7,3.67,13.8
"Avoine, crue",343.3,14.6,8.22,55.7,6.9
"Baba au rhum, préemballé",145.1,3.05,64.5,21.3,5.3
Bagel,262.06,9.26,34.3,47.3,3.98
Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),462.1,10.4,13.5,50.0,24.5
"Bambou, pousse, crue",32.2,2.52,89.8,5.08,0.2
"Bambou, pousses, appertisées, égouttées",15.39,1.61,95.0,1.9,0.15
"Banane plantain, crue",127.03,1.28,65.3,29.6,0.39
"Banane plantain, cuite",120.38,0.79,67.3,28.9,0.18
"Banane, pulpe, crue",84.57,0.98,75.8,19.6,0.25
"Banane, pulpe, sèche",345.45,3.89,3.0,78.4,1.81
"Bar commun ou loup (Méditerranée), cru, élevage",123.85,21.4,72.8,0.0,4.25
"Bar commun ou loup (Méditerranée), cru, sauvage",97.86,20.1,76.8,0.0,1.94
"Bar commun ou loup, cru, sans précision",79.5,18.3,78.1,0.0,0.7
"Bar commun ou loup, rôti/cuit au four",141.79,20.8,69.1,0.0,6.51
"Bar ou loup de l'Atlantique, cru",89.49,16.5,79.6,0.0,2.61
"Bar rayé ou bar d'Amérique, cru",113.42,20.3,74.6,0.0,3.58
"Barre à la noix de coco, enrobée de chocolat",470.52,3.88,7.83,60.2,23.8
"Barre biscuitée fourrée aux fruits, allégée en matière grasse",380.16,3.32,10.5,75.7,7.12
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux",376.09,6.13,8.0,73.2,6.53
"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux",413.66,5.99,4.48,72.9,10.9
Barre céréalière aux amandes ou noisettes,442.3,7.75,5.3,63.9,17.3
Barre céréalière aux fruits,379.59,5.49,8.68,73.5,7.07
Barre céréalière chocolatée,452.34,6.56,2.54,73.0,14.9
Barre céréalière diététique hypocalorique,385.6,5.9,9.5,65.3,11.2
"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",422.7,6.7,5.5,72.2,11.9
Barre chocolat au lait avec nougat,526.2,5.8,0.6,60.5,29.0
Barre chocolatée aux fruits secs,493.32,7.23,4.42,57.6,26.0
Barre chocolatée biscuitée,515.46,6.14,2.98,59.5,28.1
Barre chocolatée non biscuitée enrobée,497.3,3.7,3.83,66.4,24.1
Barre glacée chocolatée,356.28,5.12,35.2,35.8,21.4
Barre goûter frais au lait et chocolat,554.0,10.0,0.0,52.0,34.0
Barre goûter frais au lait et chocolat avec génoise,490.52,6.68,10.5,39.0,34.2
Barres ou confiserie chocolatées au lait,544.3,8.0,1.45,59.0,30.7
Base de pizza à la crème,258.6,7.7,0.0,51.1,2.6
Base de pizza tomatée,230.3,6.9,0.0,44.6,2.7
"Basilic, frais",27.31,3.22,90.8,2.55,0.47
"Basilic, séché",169.03,23.0,10.4,10.1,4.07
Beaufort,412.4,26.6,34.3,0.0,34.0
Beignet à la confiture,376.02,6.23,27.6,45.7,18.7
Beignet de crevette,220.0,6.5,54.2,26.0,10.0
Beignet de légumes,152.58,3.74,69.9,14.2,8.98
"Beignet de viande, volaille ou poisson, fait maison",235.46,18.7,55.9,9.79,13.5
"Beignet fourré aux fruits, préemballé",357.0,5.65,27.7,47.6,16.0
"Beignet fourré goût chocolat, préemballé",415.34,7.31,20.3,45.9,22.5
"Beignet rond moelleux, sans fourrage, saupoudré de sucre",399.94,7.26,26.0,39.4,23.7
"Bette ou blette, crue",9.72,1.93,95.4,0.5,0.0
"Bette ou blette, cuite",9.36,1.88,95.3,0.46,0.0
"Betterave rouge, crue",45.52,1.74,86.7,9.1,0.24
"Betterave rouge, cuite",43.22,1.84,87.1,8.56,0.18
"Beurre à 39-41% MG, léger, doux",380.4,1.1,56.7,4.0,40.0
"Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel",554.6,0.9,37.0,0.5,61.0
"Beurre à 60-62% MG, à teneur réduite en matière grasse, doux",553.0,1.2,37.7,0.7,60.6
"Beurre à 80% MG, demi-sel",735.88,0.72,15.5,0.55,81.2
"Beurre à 80% MG, salé",747.42,0.55,12.5,0.68,82.5
"Beurre à 82% MG, doux",743.6,0.72,15.8,0.68,82.0
"Beurre à 82% MG, doux, tendre",755.4,0.7,15.6,0.5,83.4
"Beurre à teneur en matière grasse inconnue (allégé ou non), demi-sel (aliment moyen)",729.78,0.77,16.2,0.55,80.5
Beurre de cacahuète ou Pâte d'arachide,625.3,22.2,1.37,16.0,52.5
Beurre de cacao,900.0,0.0,0.0,0.0,100.0
"Beurre ou assimilé à teneur en matière grasse inconnue, doux (aliment moyen)",730.66,0.75,17.3,0.79,80.5
"Beurre ou assimilé allégé (léger ou à teneur reduite en matière grasse), doux (aliment moyen)",374.32,0.73,56.4,3.75,39.6
Bicarbonate de soude,0.4,0.1,0.2,0.0,0.0
"Bière ""coeur de marché"" (4-5° alcool)",12.36,0.39,92.7,2.7,0.0
"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",14.84,0.51,91.3,3.2,0.0
"Bière ""spéciale"" (5-6° alcool)",20.12,0.48,90.8,4.55,0.0
Bière brune,18.32,0.48,92.7,4.1,0.0
Bière faiblement alcoolisée (3° alcool),19.72,0.31,93.6,4.62,0.0
Bière forte (>8° alcool),20.44,0.51,88.8,4.6,0.0
"Bière sans alcool (<1,2° alcool)",20.8,0.31,94.0,4.89,0.0
Biscotte briochée,403.12,10.9,0.0,69.0,9.28
Biscotte classique,404.13,9.24,0.3,77.1,6.53
Biscotte complète ou riche en fibres,370.33,11.7,4.2,67.0,6.17
Biscotte multicéréale,378.98,11.8,5.1,66.7,7.22
Biscotte sans adjonction de sel,387.72,10.4,4.5,73.3,5.88
Biscuit apéritif (aliment moyen),479.22,9.23,1.75,60.4,22.3
"Biscuit apéritif à base de pomme de terre, type tuile salée",514.12,4.63,1.85,59.1,28.8
Biscuit apéritif feuilleté,502.5,12.3,2.15,53.7,26.5
"Biscuit apéritif soufflé, à base de maïs, à la cacahuète",478.5,13.3,2.33,54.8,22.9
"Biscuit apéritif soufflé, à base de maïs, sans cacahuète",483.24,6.96,1.81,62.1,23.0
"Biscuit apéritif soufflé, à base de pomme de terre",477.9,4.25,2.74,61.0,24.1
"Biscuit apéritif soufflé, à base de pomme de terre et de soja",393.17,19.0,0.0,58.3,9.33
"Biscuit apéritif, crackers, garni ou fourré, au fromage",529.0,13.8,2.1,46.0,32.2
"Biscuit apéritif, crackers, nature",493.1,10.5,0.89,59.0,23.9
"Biscuit apéritif, crackers, nature, allégé en matière grasse",402.49,6.53,4.05,73.1,9.33
"Biscuit apéritif, mini bretzel ou sticks",370.57,11.2,2.9,74.4,3.13
"Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux",451.1,7.6,0.0,65.8,17.5
Biscuit de Savoie,256.0,5.9,33.2,56.3,0.8
Biscuit moelleux fourré à l'orange et enrobé de sucre glace,351.48,4.25,13.3,79.3,1.92
Biscuit pâtissier meringué,529.98,7.42,0.0,56.0,30.7
Biscuit pour bébé,432.56,7.99,3.46,72.7,12.2
"Biscuit sec (génoise) nappage aux fruits, type barquette",355.72,4.54,12.8,77.1,3.24
Biscuit sec à teneur garantie en vitamines,456.72,9.63,1.8,72.6,14.2
Biscuit sec à teneur garantie en vitamines et minéraux,469.0,10.8,1.28,61.9,19.8
"Biscuit sec au beurre, sablé, galette ou palet",489.1,6.4,2.89,64.8,22.7
"Biscuit sec au beurre, sablé, galette ou palet, au chocolat",498.54,6.71,2.6,61.0,25.3
Biscuit sec au lait,432.1,8.25,2.85,73.9,11.5
"Biscuit sec aux fruits, hyposodé",431.0,10.8,5.0,61.4,15.8
Biscuit sec aux œufs à la cuillère (cuiller) ou Boudoir,385.45,7.98,6.3,79.9,3.77
Biscuit sec avec nappage chocolat,500.32,6.93,2.72,61.9,25.0
Biscuit sec avec tablette de chocolat,496.58,6.62,2.01,63.3,24.1
"Biscuit sec chocolaté, préemballé",514.62,6.43,1.21,61.7,26.9
"Biscuit sec chocolaté, type barquette",478.36,7.39,5.29,60.9,22.8
"Biscuit sec chocolaté, type galette",493.66,6.84,0.0,63.7,23.5
"Biscuit sec chocolaté, type tartelette",499.6,6.65,2.7,60.2,25.8
"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse",422.12,5.63,1.5,80.1,8.8
"Biscuit sec croquant au chocolat, allégé en matière grasse",403.0,7.0,0.0,69.0,11.0
"Biscuit sec feuilleté, type palmier ou autres",514.8,6.1,2.49,60.5,27.6
Biscuit sec fourré à la pâte ou purée de fruits,376.51,4.43,12.7,69.2,9.11
"Biscuit sec fourré aux fruits, allégé en matière grasse",384.76,4.69,8.8,75.3,7.2
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté),494.7,6.45,2.0,63.9,23.7
"Biscuit sec nappé aux fruits, tartelette",431.8,4.7,6.84,71.3,14.2
Biscuit sec nature,441.78,6.77,4.35,69.7,15.1
"Biscuit sec ou tuile, aux amandes",458.92,7.93,2.63,68.1,17.2
Biscuit sec pauvre en glucides,424.9,20.8,0.0,43.8,18.5
Biscuit sec petit beurre,440.52,7.73,2.59,72.7,13.2
Biscuit sec petit beurre au chocolat,457.16,7.19,1.21,71.1,16.0
Biscuit sec pour petit déjeuner,450.42,7.68,3.06,64.2,18.1
"Biscuit sec pour petit déjeuner, allégé en sucres",439.92,7.68,0.0,66.3,16.0
"Biscuit sec pour petit déjeuner, au chocolat",454.2,6.5,2.5,69.7,16.6
Biscuit sec type langue de chat ou cigarette russe,430.54,5.66,2.98,77.9,10.7
"Biscuit sec type tuile, aux fruits",395.84,5.43,0.0,74.9,8.28
"Biscuit sec, avec matière grasse végétale",434.32,7.23,1.25,74.8,11.8
"Biscuit sec, petits fours en assortiment",514.46,6.94,2.0,59.8,27.5
"Biscuit sec, sablé, galette ou palet, aux fruits",467.86,5.94,3.3,67.6,19.3
"Biscuit sec, sans précision",498.06,7.74,3.47,61.2,24.7
Blanquette de veau,74.12,6.43,75.1,3.1,4.0
"Blé de Khorasan, cru",315.17,14.5,11.1,59.5,2.13
"Blé dur entier, cru",318.16,12.1,10.7,62.4,2.24
"Blé dur précuit cuisiné, en sachet micro-ondable",181.0,4.86,57.0,29.5,4.84
"Blé dur précuit, entier, cru",340.58,12.1,8.81,69.4,1.62
"Blé dur précuit, grains entiers, cuisiné, à poêler",327.51,11.1,0.0,67.2,1.59
"Blé dur précuit, grains entiers, cuit, non salé",138.28,5.25,63.4,27.7,0.72
"Blé germé, cru",206.99,7.49,47.8,41.4,1.27
Blé khorasan complet soufflé,366.36,6.68,5.13,80.5,1.96
"Blé tendre entier ou froment, cru",354.6,11.5,12.0,71.3,2.6
Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC),366.3,22.5,43.6,0.0,30.7
Blini,255.52,5.98,45.9,32.7,11.2
Boeuf aux carottes,94.35,13.2,78.5,3.3,3.15
Boeuf bourguignon,92.38,8.93,78.4,6.74,3.3
"Boeuf, à bourguignon ou pot-au-feu, cru",163.5,24.0,0.0,0.0,7.5
"Boeuf, à bourguignon ou pot-au-feu, cuit",172.45,34.0,59.4,0.0,4.05
"Boeuf, bavette d'aloyau, crue",132.63,20.4,73.7,0.0,5.67
"Boeuf, bavette d'aloyau, grillée/poêlée",162.46,25.0,67.8,0.0,6.94
"Boeuf, boule de macreuse, crue",117.44,21.8,74.5,0.0,3.36
"Boeuf, boule de macreuse, grillée/poêlée",143.79,26.7,68.8,0.0,4.11
"Boeuf, boule de macreuse, rôtie/cuite au four",147.0,27.3,68.2,0.0,4.2
"Boeuf, boulettes cuites",208.34,18.5,62.0,3.66,13.3
"Boeuf, braisé",240.0,32.1,55.7,0.0,12.4
"Boeuf, collier, braisé",184.2,33.0,0.0,0.0,5.8
"Boeuf, côte, crue",147.52,20.5,0.0,0.0,7.28
"Boeuf, entrecôte, crue",231.5,19.4,62.5,0.0,17.1
"Boeuf, entrecôte, partie maigre, grillée/poêlée",198.3,25.5,62.3,0.0,10.7
"Boeuf, épaule, crue",168.36,20.4,69.0,0.0,9.64
"Boeuf, faux-filet, cru",152.26,22.3,70.5,0.6,6.74
"Boeuf, faux-filet, grillé/poêlé",181.93,27.1,64.3,0.0,8.17
"Boeuf, faux-filet, label rouge, cru",121.6,24.1,72.6,0.0,2.8
"Boeuf, faux-filet, rôti/cuit au four",193.59,28.8,62.0,0.0,8.71
"Boeuf, gîte à la noix, cru",148.65,21.3,68.9,0.0,7.05
"Boeuf, gîte à la noix, cuit",101.9,21.0,0.0,0.2,1.9
"Boeuf, hampe, crue",153.67,19.0,71.5,0.0,8.63
"Boeuf, hampe, grillée/poêlée",174.24,21.6,67.6,0.0,9.76
"Boeuf, jarret, bouilli/cuit à l'eau",160.9,31.0,0.0,0.0,4.1
"Boeuf, jarret, cru",121.85,20.9,72.5,0.0,4.25
"Boeuf, joue, braisée ou bouillie",236.18,39.2,52.9,0.0,8.82
"Boeuf, joue, crue",135.98,22.3,73.2,0.4,5.02
"Boeuf, onglet, cru",139.4,20.0,0.0,0.0,6.6
"Boeuf, onglet, grillé",171.2,23.0,0.0,0.0,8.8
"Boeuf, paleron, braisé ou bouilli",250.6,36.8,51.8,0.2,11.4
"Boeuf, paleron, cru",143.66,21.2,72.3,0.0,6.54
"Boeuf, plat de côtes, braisé",268.9,37.3,48.9,0.0,13.3
"Boeuf, plat de côtes, cru",286.9,18.4,58.2,0.0,23.7
"Boeuf, queue, bouillie/cuite à l'eau",195.7,28.0,0.0,0.0,9.3
"Boeuf, rosbif, rôti/cuit au four",117.24,21.9,72.5,0.3,3.16
"Boeuf, rumsteck, cru",114.1,22.5,70.9,0.4,2.5
"Boeuf, rumsteck, grillé",122.5,25.0,0.0,0.0,2.5
"Bœuf, steak haché 10% MG, cru",170.9,20.0,69.0,0.0,10.1
"Bœuf, steak haché 10% MG, cuit",210.6,26.1,61.4,0.0,11.8
"Bœuf, steak haché 15% MG, cru",209.58,20.2,67.2,0.47,14.1
"Bœuf, steak haché 15% MG, cuit",239.3,23.6,59.1,0.0,16.1
"Bœuf, steak haché 20% MG, cru",249.2,17.3,61.4,0.0,20.0
"Bœuf, steak haché 20% MG, cuit",265.36,23.0,56.7,0.14,19.2
"Bœuf, steak haché 5% MG, cru",130.11,21.9,74.0,0.3,4.59
"Bœuf, steak haché 5% MG, cuit",154.65,25.5,68.9,0.0,5.85
"Bœuf, steak haché, cuit (aliment moyen)",231.11,23.8,60.0,0.0018,15.1
"Boeuf, steak ou bifteck, cru",222.6,19.2,63.1,0.0,16.2
"Boeuf, steak ou bifteck, grillé",127.95,27.6,69.1,0.0,1.95
"Boeuf, tende de tranche, crue",115.74,23.1,74.8,0.57,2.34
"Boeuf, tende de tranche, grillée/poêlée",141.08,28.7,68.5,0.0,2.92
"Boeuf, tende de tranche, rôtie/cuite au four",146.47,29.8,67.4,0.0,3.03
"Bogue, crue",89.87,17.9,78.5,0.0,2.03
"Boisson à base d'avoine, nature",41.1,0.0,90.5,7.8,1.1
Boisson à base de plantes pour bébé,23.2,0.0,94.2,5.8,0.0
"Boisson à base de riz, nature",52.2,0.0,87.6,10.8,1.0
Boisson à l'amande,21.7,0.6,96.0,1.45,1.5
"Boisson à l'eau minérale ou de source, aromatisée, non sucrée, avec édulcorants",2.24,0.086,0.0,0.28,0.086
"Boisson à l'eau minérale ou de source, aromatisée, non sucrée, sans édulcorant",0.8,0.06,0.0,0.14,0.0
"Boisson à l'eau minérale ou de source, aromatisée, sucrée",15.04,0.086,0.0,3.48,0.086
Boisson au jus de fruit et au lait,49.3,0.7,87.2,11.4,0.1
Boisson au soja et jus de fruits concentrés,51.4,1.1,0.0,9.5,1.0
"Boisson au soja, aromatisée, sucrée",58.08,2.96,86.8,7.24,1.92
"Boisson au soja, aromatisée, sucrée, enrichie en calcium",39.8,3.01,90.6,2.89,1.8
"Boisson au soja, nature",34.67,3.31,93.0,0.7,2.07
"Boisson au soja, nature, enrichie en calcium",40.85,3.42,90.8,2.18,2.05
"Boisson au thé, aromatisée, non sucrée, avec édulcorants",1.42,0.014,99.5,0.34,0.0
"Boisson au thé, aromatisée, sucrée",27.17,0.033,93.1,6.76,0.0
"Boisson au thé, aromatisée, sucrée, avec édulcorants",21.2,0.0,0.0,5.3,0.0
"Boisson au thé, aromatisée, teneur en sucre et édulcorant inconnue (aliment moyen)",24.91,0.028,93.8,6.18,0.0091
Boisson aux fruits pour bébé dès 4/6mois,38.0,0.0,90.2,9.5,0.0
"Boisson cacaotée ou au chocolat, instantanée, sucrée, enrichie en vitamines, prête à boire (reconstituée avec du lait demi-écrémé standard)",71.35,4.08,83.2,9.91,1.71
"Boisson cacaotée ou au chocolat, instantanée, sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)",65.9,3.78,84.7,9.5,1.42
"Boisson concentrée à diluer, sans sucres ajoutés, avec édulcorants, type ""sirop 0%""",11.04,0.0,93.8,2.76,0.0
Boisson diététique pour le sport,22.3,0.0,92.6,5.26,0.14
"Boisson énergisante, non sucrée, avec édulcorants",4.99,0.073,0.0,0.95,0.1
"Boisson énergisante, sucrée",48.4,0.2,88.0,11.9,0.0
"Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, avec édulcorants",3.22,0.063,99.2,0.45,0.13
"Boisson gazeuse aux fruits (à moins de 10% de jus), non sucrée, sans édulcorant",16.68,0.0,0.0,4.17,0.0
"Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée",40.66,0.081,90.5,9.97,0.051
"Boisson gazeuse aux fruits (à moins de 10% de jus), sucrée, avec édulcorants",28.0,0.0,0.0,7.0,0.0
"Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée",45.72,0.067,88.2,11.3,0.028
"Boisson gazeuse aux fruits (teneur en jus non spécifiée), sucrée (aliment moyen)",45.34,0.068,88.4,11.2,0.03
"Boisson gazeuse, sans jus de fruit, à teneur réduite en sucres",26.2,0.0,0.0,6.55,0.0
"Boisson gazeuse, sans jus de fruit, non sucrée, avec édulcorants",0.84,0.05,99.9,0.16,0.0
"Boisson gazeuse, sans jus de fruit, sucrée",35.94,0.14,90.6,8.67,0.078
"Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants",27.2,0.0,0.0,6.8,0.0
Boisson infantile céréales lactées (aliment moyen),84.42,2.25,81.0,12.6,2.78
Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois,64.8,1.75,85.8,7.7,3.0
Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois,80.43,2.14,82.2,11.6,2.83
Boisson infantile céréales lactées pour le petit déjeuner,84.41,1.9,81.6,12.7,2.89
Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois,84.34,2.23,81.0,12.6,2.78
Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois,85.22,2.58,81.2,12.2,2.9
Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois,83.56,2.26,81.7,12.6,2.68
"Boisson lactée aromatisée (arôme inconnu), sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux (aliment moyen)",58.22,2.49,85.7,10.4,0.74
"Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie à la vitamine D",52.73,2.17,86.9,10.0,0.45
"Boisson lactée aromatisée au chocolat, sucrée, au lait partiellement écrémé, enrichie et/ou restaurée en vitamines et/ou minéraux",63.11,2.75,84.7,10.8,0.99
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré",71.56,3.14,82.4,11.6,1.4
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré",79.97,3.09,0.0,13.1,1.69
"Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré",62.2,2.93,84.4,9.29,1.48
"Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei",77.04,2.76,83.4,12.9,1.6
"Boisson plate aux fruits (10 à 50% de jus), à teneur réduite en sucres",20.79,0.014,94.5,5.16,0.01
"Boisson plate aux fruits (10 à 50% de jus), sucrée",41.46,0.13,89.3,10.1,0.06
"Boisson plate aux fruits (à moins de 10% de jus), sucrée",18.9,0.1,0.0,4.4,0.1
"Boisson plate aux fruits (teneur en jus non spécifiée), sucrée",45.78,0.088,88.3,11.2,0.07
"Boisson plate aux fruits, (à moins de 10% de jus), non sucrée, avec édulcorants",5.25,0.06,0.0,0.96,0.13
"Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau",31.02,0.055,92.2,7.7,0.0
Boisson rafraîchissante sans alcool (aliment moyen),30.18,0.1,92.2,7.35,0.042
Bonbon / bouchée au chocolat fourrage gaufrettes / biscuit,511.0,6.5,0.0,55.1,29.4
"Bonbon au caramel, mou",398.16,2.95,1.42,78.5,8.04
Bonbon dur et sucette,384.75,0.0,1.3,95.4,0.35
Bonbon gélifié,337.77,6.28,9.96,77.6,0.25
"Bonbons, tout type",430.41,1.9,3.97,88.4,7.69
"Bonite, crue",176.89,26.2,70.0,0.0,8.01
"Bouchée à la reine, à la viande/volaille/quenelle",292.06,5.99,46.8,24.5,18.9
